pattern,count,before_round,after_round,round_delta,cumulative_delta_from_pattern_start
rand,10000,12689295,13368368,679073,679073
rand,20000,13368368,11172529,-2195839,-1516766
rand,30000,11172529,11851602,679073,-837693
rand,40000,11851602,12530675,679073,-158620
rand,50000,12530675,13209741,679066,520446
rand,60000,13209741,13888814,679073,1199519
rand,70000,13888814,11829830,-2058984,-859465
rand,80000,11829830,12508903,679073,-180392
rand,90000,12508903,13187976,679073,498681
rand,100000,13187976,13867042,679066,1177747
rand,110000,13867042,14546115,679073,1856820
rand,120000,14546115,12454903,-2091212,-234392
rand,130000,12454903,13133976,679073,444681
rand,140000,13133976,13813049,679073,1123754
rand,150000,13813049,14492115,679066,1802820
rand,160000,14492115,15171188,679073,2481893
rand,170000,15171188,13074145,-2097043,384850
rand,180000,13074145,13753218,679073,1063923
rand,190000,13753218,14432291,679073,1742996
rand,200000,14432291,15111357,679066,2422062
rand,210000,15111357,15790430,679073,3101135
rand,220000,15790430,13741423,-2049007,1052128
rand,230000,13741423,14420496,679073,1731201
rand,240000,14420496,15099569,679073,2410274
rand,250000,15099569,15778635,679066,3089340
rand,260000,15778635,16457708,679073,3768413
rand,270000,16457708,14361368,-2096340,1672073
rand,280000,14361368,15040441,679073,2351146
rand,290000,15040441,15719514,679073,3030219
rand,300000,15719514,16398580,679066,3709285
rand,310000,16398580,17077653,679073,4388358
rand,320000,17077653,14980195,-2097458,2290900
rand,330000,14980195,15659268,679073,2969973
rand,340000,15659268,16338341,679073,3649046
rand,350000,16338341,17017407,679066,4328112
rand,360000,17017407,17696480,679073,5007185
rand,370000,17696480,15599025,-2097455,2909730
rand,380000,15599025,16278098,679073,3588803
rand,390000,16278098,16957171,679073,4267876
rand,400000,16957171,17636237,679066,4946942
rand,410000,17636237,18315310,679073,5626015
rand,420000,18315310,16271703,-2043607,3582408
rand,430000,16271703,16950776,679073,4261481
rand,440000,16950776,17629849,679073,4940554
rand,450000,17629849,18308915,679066,5619620
rand,460000,18308915,18987988,679073,6298693
rand,470000,18987988,16891214,-2096774,4201919
rand,480000,16891214,17570287,679073,4880992
rand,490000,17570287,18249360,679073,5560065
rand,500000,18249360,18928426,679066,6239131
rand,510000,18928426,19607499,679073,6918204
rand,520000,19607499,17510108,-2097391,4820813
rand,530000,17510108,18189181,679073,5499886
rand,540000,18189181,18868254,679073,6178959
rand,550000,18868254,19547320,679066,6858025
rand,560000,19547320,20226393,679073,7537098
rand,570000,20226393,18129367,-2097026,5440072
rand,580000,18129367,18808440,679073,6119145
rand,590000,18808440,19487513,679073,6798218
rand,600000,19487513,20166579,679066,7477284
rand,610000,20166579,20845652,679073,8156357
rand,620000,20845652,18803220,-2042432,6113925
rand,630000,18803220,19482293,679073,6792998
rand,640000,19482293,20161366,679073,7472071
rand,650000,20161366,20840432,679066,8151137
rand,660000,20840432,21519505,679073,8830210
rand,670000,21519505,19422711,-2096794,6733416
rand,680000,19422711,20101784,679073,7412489
rand,690000,20101784,20780857,679073,8091562
rand,700000,20780857,21459923,679066,8770628
rand,710000,21459923,22138996,679073,9449701
rand,720000,22138996,20041178,-2097818,7351883
rand,730000,20041178,20720251,679073,8030956
rand,740000,20720251,21399324,679073,8710029
rand,750000,21399324,22078390,679066,9389095
rand,760000,22078390,22757463,679073,10068168
rand,770000,22757463,20662204,-2095259,7972909
rand,780000,20662204,21341277,679073,8651982
rand,790000,21341277,22020350,679073,9331055
rand,800000,22020350,22699416,679066,10010121
rand,810000,22699416,23378489,679073,10689194
rand,820000,23378489,21336361,-2042128,8647066
rand,830000,21336361,22015434,679073,9326139
rand,840000,22015434,22694507,679073,10005212
rand,850000,22694507,23373573,679066,10684278
rand,860000,23373573,24052646,679073,11363351
rand,870000,24052646,21956191,-2096455,9266896
rand,880000,21956191,22635264,679073,9945969
rand,890000,22635264,23314337,679073,10625042
rand,900000,23314337,23993403,679066,11304108
rand,910000,23993403,24672476,679073,11983181
rand,920000,24672476,22574569,-2097907,9885274
rand,930000,22574569,23253642,679073,10564347
rand,940000,23253642,23932715,679073,11243420
rand,950000,23932715,24611781,679066,11922486
rand,960000,24611781,25290854,679073,12601559
rand,970000,25290854,23193002,-2097852,10503707
rand,980000,23193002,23872075,679073,11182780
rand,990000,23872075,24551148,679073,11861853
rand,1000000,24551148,25230214,679066,12540919
