pattern,count,before_round,after_round,round_delta,cumulative_delta_from_pattern_start
sequ,100000,64246,1177661,1113415,1113415
sequ,200000,1177661,2088645,910984,2024399
sequ,300000,2088645,3246382,1157737,3182136
sequ,400000,3246382,4170714,924332,4106468
sequ,500000,4170714,5326172,1155458,5261926
sequ,600000,5326172,6254332,928160,6190086
sequ,700000,6254332,7410134,1155802,7345888
sequ,800000,7410134,8338776,928642,8274530
sequ,900000,8338776,9500647,1161871,9436401
sequ,1000000,9500647,10423793,923146,10359547
sequ,1100000,10423793,11588268,1164475,11524022
sequ,1200000,11588268,12513587,925319,12449341
sequ,1300000,12513587,13676317,1162730,13612071
sequ,1400000,13676317,14598306,921989,14534060
sequ,1500000,14598306,15761851,1163545,15697605
sequ,1600000,15761851,16681342,919491,16617096
sequ,1700000,16681342,17846467,1165125,17782221
sequ,1800000,17846467,18761863,915396,18697617
sequ,1900000,18761863,19927643,1165780,19863397
sequ,2000000,19927643,20840002,912359,20775756
sequ,2100000,20840002,22009061,1169059,21944815
sequ,2200000,22009061,22920785,911724,22856539
sequ,2300000,22920785,24093373,1172588,24029127
sequ,2400000,24093373,25004110,910737,24939864
sequ,2500000,25004110,26177137,1173027,26112891
sequ,2600000,26177137,27088665,911528,27024419
sequ,2700000,27088665,28262593,1173928,28198347
sequ,2800000,28262593,29175202,912609,29110956
sequ,2900000,29175202,30349838,1174636,30285592
sequ,3000000,30349838,31261909,912071,31197663
sequ,3100000,31261909,32435867,1173958,32371621
sequ,3200000,32435867,33347465,911598,33283219
sequ,3300000,33347465,34519734,1172269,34455488
sequ,3400000,34519734,35431275,911541,35367029
sequ,3500000,35431275,36601209,1169934,36536963
sequ,3600000,36601209,37512976,911767,37448730
sequ,3700000,37512976,38679640,1166664,38615394
sequ,3800000,38679640,39592594,912954,39528348
sequ,3900000,39592594,40755166,1162572,40690920
sequ,4000000,40755166,41672932,917766,41608686
sequ,4100000,41672932,42832980,1160048,42768734
sequ,4200000,42832980,43756163,923183,43691917
sequ,4300000,43756163,44913059,1156896,44848813
sequ,4400000,44913059,45840965,927906,45776719
sequ,4500000,45840965,46996368,1155403,46932122
sequ,4600000,46996368,47929170,932802,47864924
sequ,4700000,47929170,49087408,1158238,49023162
sequ,4800000,49087408,50016110,928702,49951864
sequ,4900000,50016110,51176944,1160834,51112698
sequ,5000000,51176944,52102812,925868,52038566
sequ,5100000,52102812,53265272,1162460,53201026
sequ,5200000,53265272,54188492,923220,54124246
sequ,5300000,54188492,55351760,1163268,55287514
sequ,5400000,55351760,56272525,920765,56208279
sequ,5500000,56272525,57436721,1164196,57372475
sequ,5600000,57436721,58353687,916966,58289441
sequ,5700000,58353687,59518702,1165015,59454456
sequ,5800000,59518702,60430127,911425,60365881
sequ,5900000,60430127,61598408,1168281,61534162
sequ,6000000,61598408,62508133,909725,62443887
sequ,6100000,62508133,63679252,1171119,63615006
sequ,6200000,63679252,64589571,910319,64525325
sequ,6300000,64589571,65762722,1173151,65698476
sequ,6400000,65762722,66673674,910952,66609428
sequ,6500000,66673674,67847589,1173915,67783343
sequ,6600000,67847589,68759879,912290,68695633
sequ,6700000,68759879,69933851,1173972,69869605
sequ,6800000,69933851,70849399,915548,70785153
sequ,6900000,70849399,72023357,1173958,71959111
sequ,7000000,72023357,72936565,913208,72872319
sequ,7100000,72936565,74109649,1173084,74045403
sequ,7200000,74109649,75023580,913931,74959334
sequ,7300000,75023580,76194566,1170986,76130320
sequ,7400000,76194566,77107863,913297,77043617
sequ,7500000,77107863,78276398,1168535,78212152
sequ,7600000,78276398,79189503,913105,79125257
sequ,7700000,79189503,80354779,1165276,80290533
sequ,7800000,80354779,81269763,914984,81205517
sequ,7900000,81269763,82430267,1160504,82366021
sequ,8000000,82430267,83350976,920709,83286730
sequ,8100000,83350976,84508529,1157553,84444283
sequ,8200000,84508529,85434161,925632,85369915
sequ,8300000,85434161,86588736,1154575,86524490
sequ,8400000,86588736,87519638,930902,87455392
sequ,8500000,87519638,88676372,1156734,88612126
sequ,8600000,88676372,89605879,929507,89541633
sequ,8700000,89605879,90765369,1159490,90701123
sequ,8800000,90765369,91691821,926452,91627575
sequ,8900000,91691821,92852690,1160869,92788444
sequ,9000000,92852690,93777734,925044,93713488
sequ,9100000,93777734,94942160,1164426,94877914
sequ,9200000,94942160,95865422,923262,95801176
sequ,9300000,95865422,97029109,1163687,96964863
sequ,9400000,97029109,97948428,919319,97884182
sequ,9500000,97948428,99113043,1164615,99048797
sequ,9600000,99113043,100028268,915225,99964022
sequ,9700000,100028268,101194982,1166714,101130736
sequ,9800000,101194982,102104495,909513,102040249
sequ,9900000,102104495,103275308,1170813,103211062
sequ,10000000,103275308,104185477,910169,104121231
