pattern,count,before_round,after_round,round_delta,cumulative_delta_from_pattern_start
rand,100000,64250,1412601,1348351,1348351
rand,200000,1412601,2575852,1163251,2511602
rand,300000,2575852,3920984,1345132,3856734
rand,400000,3920984,5124851,1203867,5060601
rand,500000,5124851,6471386,1346535,6407136
rand,600000,6471386,7671008,1199622,7606758
rand,700000,7671008,9013638,1342630,8949388
rand,800000,9013638,10218498,1204860,10154248
rand,900000,10218498,11567367,1348869,11503117
rand,1000000,11567367,12768801,1201434,12704551
rand,1100000,12768801,14051460,1282659,13987210
rand,1200000,14051460,15262597,1211137,15198347
rand,1300000,15262597,16546299,1283702,16482049
rand,1400000,16546299,17754480,1208181,17690230
rand,1500000,17754480,19041630,1287150,18977380
rand,1600000,19041630,20245743,1204113,20181493
rand,1700000,20245743,21532941,1287198,21468691
rand,1800000,21532941,22733411,1200470,22669161
rand,1900000,22733411,24021137,1287726,23956887
rand,2000000,24021137,25212857,1191720,25148607
rand,2100000,25212857,26504509,1291652,26440259
rand,2200000,26504509,27707227,1202718,27642977
rand,2300000,27707227,29001475,1294248,28937225
rand,2400000,29001475,30206156,1204681,30141906
rand,2500000,30206156,31503120,1296964,31438870
rand,2600000,31503120,32705205,1202085,32640955
rand,2700000,32705205,34002478,1297273,33938228
rand,2800000,34002478,35205554,1203076,35141304
rand,2900000,35205554,36502529,1296975,36438279
rand,3000000,36502529,37707308,1204779,37643058
rand,3100000,37707308,39004391,1297083,38940141
rand,3200000,39004391,40204460,1200069,40140210
rand,3300000,40204460,41500723,1296263,41436473
rand,3400000,41500723,42688190,1187467,42623940
rand,3500000,42688190,43982806,1294616,43918556
rand,3600000,43982806,45179210,1196404,45114960
rand,3700000,45179210,46468123,1288913,46403873
rand,3800000,46468123,47667595,1199472,47603345
rand,3900000,47667595,48951967,1284372,48887717
rand,4000000,48951967,50158817,1206850,50094567
rand,4100000,50158817,51439846,1281029,51375596
rand,4200000,51439846,52652138,1212292,52587888
rand,4300000,52652138,53931217,1279079,53866967
rand,4400000,53931217,55144734,1213517,55080484
rand,4500000,55144734,56421573,1276839,56357323
rand,4600000,56421573,57638600,1217027,57574350
rand,4700000,57638600,58920248,1281648,58855998
rand,4800000,58920248,60136391,1216143,60072141
rand,4900000,60136391,61419555,1283164,61355305
rand,5000000,61419555,62636406,1216851,62572156
rand,5100000,62636406,63920445,1284039,63856195
rand,5200000,63920445,65133026,1212581,65068776
rand,5300000,65133026,66419171,1286145,66354921
rand,5400000,66419171,67625245,1206074,67560995
rand,5500000,67625245,68914081,1288836,68849831
rand,5600000,68914081,70115844,1201763,70051594
rand,5700000,70115844,71403462,1287618,71339212
rand,5800000,71403462,72601076,1197614,72536826
rand,5900000,72601076,73892509,1291433,73828259
rand,6000000,73892509,75085857,1193348,75021607
rand,6100000,75085857,76379750,1293893,76315500
rand,6200000,76379750,77576280,1196530,77512030
rand,6300000,77576280,78871735,1295455,78807485
rand,6400000,78871735,80069492,1197757,80005242
rand,6500000,80069492,81366641,1297149,81302391
rand,6600000,81366641,82563691,1197050,82499441
rand,6700000,82563691,83860918,1297227,83796668
rand,6800000,83860918,85056490,1195572,84992240
rand,6900000,85056490,86353551,1297061,86289301
rand,7000000,86353551,87552712,1199161,87488462
rand,7100000,87552712,88847996,1295284,88783746
rand,7200000,88847996,90050443,1202447,89986193
rand,7300000,90050443,91345267,1294824,91281017
rand,7400000,91345267,92543663,1198396,92479413
rand,7500000,92543663,93834167,1290504,93769917
rand,7600000,93834167,95035046,1200879,94970796
rand,7700000,95035046,96321902,1286856,96257652
rand,7800000,96321902,97525972,1204070,97461722
rand,7900000,97525972,98807828,1281856,98743578
rand,8000000,98807828,100014685,1206857,99950435
rand,8100000,100014685,101295019,1280334,101230769
rand,8200000,101295019,102510632,1215613,102446382
rand,8300000,102510632,103786166,1275534,103721916
rand,8400000,103786166,105005123,1218957,104940873
rand,8500000,105005123,106284106,1278983,106219856
rand,8600000,106284106,107500952,1216846,107436702
rand,8700000,107500952,108782384,1281432,108718134
rand,8800000,108782384,109996305,1213921,109932055
rand,8900000,109996305,111279608,1283303,111215358
rand,9000000,111279608,112491236,1211628,112426986
rand,9100000,112491236,113778223,1286987,113713973
rand,9200000,113778223,114987533,1209310,114923283
rand,9300000,114987533,116277786,1290253,116213536
rand,9400000,116277786,117481208,1203422,117416958
rand,9500000,117481208,118769706,1288498,118705456
rand,9600000,118769706,119971592,1201886,119907342
rand,9700000,119971592,121260591,1288999,121196341
rand,9800000,121260591,122454104,1193513,122389854
rand,9900000,122454104,123747819,1293715,123683569
rand,10000000,123747819,124940945,1193126,124876695
